Id;Bokføringsdag;Handelsdag;Oppgjørsdag;Transaksjonstype;Verdipapir;Instrumenttyp;ISIN;Antall;Kurs;Rente;Avgifter;Beløp;Valuta;Kjøpsverdi;Resultat;Totalt antall;Saldo;Vekslingskurs;Transaksjonstekst;Makuleringsdato;Sluttseddelnummer
346981721;2016-10-25;2016-10-25;2016-10-25;UTBETALING;;;;0;0,00;0,0000;0,00;-5 000,00;NOK;0,00;0,00;0,00;0,00;1,00;;;215562836
345446496;2016-10-17;2016-10-17;2016-10-17;PREMIEINNBETALING;;;;0;0,00;0,0000;0,00;5 000,00;NOK;0,00;0,00;0,00;5 000,00;1,00;PREMIEINNBETALING;;215489515
340778988;2016-09-20;2016-09-20;2016-09-20;UTBETALING;;;;0;0,00;0,0000;0,00;-5 144,74;NOK;0,00;0,00;0,00;0,00;1,00;;;215117290
340714046;2016-09-20;2016-09-20;2016-09-20;PREMIEINNBETALING;;;;0;0,00;0,0000;0,00;5 144,74;NOK;0,00;0,00;0,00;5 144,74;1,00;;;215112387























